Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,1,0,7,0.2253138701255548,0.8697,6.974137931034483,1.013746349389064,0.013448453307921543,0.002734262988506399,0.13103801186416092,0.047431381879587335,nan,nan,nan,nan,nan,nan,15.198056669315623,
distributed,1,0,10,0.2242034137540334,0.8711,9.968531468531468,1.6287068520047763,0.012989392084350012,0.0029472854946174794,0.12730484656541985,0.04679785034447968,nan,nan,nan,nan,nan,nan,14.9443509743835,
distributed,1,0,20,0.22318640403788134,0.8732,19.929396662387678,2.974789908548165,0.01295930967717952,0.0014766614261294735,0.1279085668501841,0.05395213907758591,nan,nan,nan,nan,nan,nan,15.238064078453785,
distributed,1,0,30,0.22335963109632737,0.8711,29.708624708624708,5.630867310340981,0.013095527553978146,0.0015721359924280864,0.13476214106462317,0.05404433450634242,nan,nan,nan,nan,nan,nan,15.197172135478375,
distributed,1,0,50,0.2227320192039587,0.8732,49.41784989858012,10.759165264471433,0.012996725472605756,0.001265726802791851,0.10944840566808978,0.05684893703545044,nan,nan,nan,nan,nan,nan,15.050773705019713,
distributed,1,0,70,0.22270942751705966,0.8731,68.76610505450941,18.96532609131728,0.013190512443415004,0.0008100030696160599,0.12082062654434447,0.059471449715738714,nan,nan,nan,nan,nan,nan,15.170039701495377,
distributed,1,0,100,0.2226880086582516,0.8738,98.20612244897958,28.497063789592413,0.013046153321349119,0.0008990378386139263,0.16924701262671246,0.030235315136242884,nan,nan,nan,nan,nan,nan,14.882012006222157,
distributed,1,1,-1,0.22840688220339128,0.8617,9.422535211267606,3.2230525474664824,0.013329454989401466,0.0035125079174033722,0.13751764780941178,0.06153378055287777,11.880972312391869,2.8168156371791584,1.3308755054217727,0.18062624442042075,0.9009266166484328,0.21879087982512416,15.013218730610454,
distributed,1,1,1,0.2456131540528129,0.8452,1.0,0.0,0.013457761381735316,0.006429081183929865,0.12765109804174984,0.05553892957512067,nan,nan,nan,nan,nan,nan,14.957539098889427,
distributed,1,1,2,0.2358207067033832,0.8529,1.9887640449438202,0.14740554623801777,0.013668938133608062,0.004544800494042111,0.1394225016478411,0.05379938552554034,nan,nan,nan,nan,nan,nan,14.970217309589726,
distributed,1,1,3,0.23108677155646506,0.858,2.984251968503937,0.301429799925947,0.012877796853244644,0.0037945356620848044,0.13866197789847534,0.055817746973190724,nan,nan,nan,nan,nan,nan,15.193254789991816,
distributed,1,1,5,0.2282719705990923,0.8632,4.978494623655914,0.6402907926629705,0.013243760922992778,0.003182030632245107,0.1330183953441658,0.05586657943032526,nan,nan,nan,nan,nan,nan,15.009052232246319,
distributed,1,1,7,0.22828543759072467,0.8614,6.972477064220183,1.0439558180306292,0.013071675448987689,0.0027135632257331527,0.1448458272524853,0.04923940926481327,nan,nan,nan,nan,nan,nan,15.006482159366168,
distributed,1,1,10,0.22767629145669321,0.8641,9.96797153024911,1.6421904689366424,0.012612766503845137,0.0021420211159135444,0.13475355492167304,0.043170910795924104,nan,nan,nan,nan,nan,nan,15.0024375362409,
distributed,1,1,20,0.22929913375576202,0.8636,19.925975773889636,4.082160802550896,0.013609637888780158,0.0022277696774748285,0.1267846143939212,0.05286368734821638,nan,nan,nan,nan,nan,nan,14.87229701719274,
distributed,1,1,30,0.23164108084106075,0.8625,29.928571428571427,7.3484692283495345,0.012900386393095865,0.0014895789784980936,0.1526726255028839,0.05636270561324714,nan,nan,nan,nan,nan,nan,15.032707353553526,
distributed,1,1,50,0.23511949422229178,0.8587,49.89705882352941,14.38363267359428,0.012298090920636657,0.002876502410608731,0.1300218963138263,0.05037595180380175,nan,nan,nan,nan,nan,nan,15.06511548946342,
distributed,1,1,70,0.23943852490428086,0.8547,69.85947046843177,22.819605057932094,0.013508953394005747,0.0023815564777995893,0.12813493993083863,0.06429289696658823,nan,nan,nan,nan,nan,nan,14.976056846306086,
distributed,1,1,100,0.24226476872846725,0.8532,97.80412371134021,28.111262076889318,0.012654959364282015,0.0010127563977033014,0.11330742629533973,0.05428572661614952,nan,nan,nan,nan,nan,nan,14.998432382573695,
distributed,1,2,-1,0.22325865554000374,0.8719,98.72189349112426,45.86763564867935,0.012473767954872409,0.0016462881709007724,0.13590906213982545,0.04476355040749654,1e-05,0.0,5.12724381936492e-17,2.682945552300587e-17,0.0,0.0,15.021539436336386,
distributed,1,2,1,0.24983732231231148,0.8408,1.0,0.0,0.012691643491600218,0.006850212267929412,0.13851421903351452,0.04948170069581392,nan,nan,nan,nan,nan,nan,15.120586252511476,
distributed,1,2,2,0.23399668682130584,0.8565,1.989795918367347,0.14069079067862747,0.013175361221231193,0.005094367526818439,0.12606188895997758,0.04518009565349269,nan,nan,nan,nan,nan,nan,15.057775791880674,
distributed,1,2,3,0.2309802961083037,0.8622,2.9844357976653697,0.2997334439173632,0.013344766762854149,0.003981939352350988,0.13396841028293632,0.04964939779741215,nan,nan,nan,nan,nan,nan,15.070238566604203,
distributed,1,2,5,0.22670470980548446,0.8651,4.980099502487562,0.6170297873499276,0.013256383757676836,0.0033932684741017753,0.1217939803692985,0.052326830650754504,nan,nan,nan,nan,nan,nan,15.312582266796246,
distributed,1,2,7,0.2278611790774864,0.8648,6.974522292993631,1.0065945132861067,0.012650031316697244,0.0031036263081871468,0.13031887493906555,0.054903675444139884,nan,nan,nan,nan,nan,nan,14.979876090124453,
distributed,1,2,10,0.22473573949042114,0.869,9.946808510638299,1.4714888478173702,0.013225066598110218,0.0025651208900724005,0.13101384305674196,0.04898461536282753,nan,nan,nan,nan,nan,nan,14.976892245287555,
distributed,1,2,20,0.2233903908479164,0.8747,19.952618453865338,4.046218244999619,0.012779649472889506,0.002426560177831682,0.11659190796508924,0.04934813365817651,nan,nan,nan,nan,nan,nan,15.07024364849185,
